feature,coefficient
data study,-0.060869379278513866
source finance,-0.0611283676877499
state team,-0.06225969819997818
source election,-0.06266355504426264
data team,-0.06275625027146765
release official,-0.06350730810483142
release reserve,-0.06378056472659326
release microsoft,-0.06405553968059056
release study,-0.06412364259593493
release stock,-0.06496313327849482
state world,-0.06553552490729765
state study,-0.06616510871002922
data world,-0.06689026632279221
release scientist,-0.06702061251467388
data official,-0.06736805389172118
release finance,-0.06740620278056861
release isro,-0.06749183506772106
release election,-0.07018155565104449
source central,-0.07122020940301944
data scientist,-0.0713792777624554
data isro,-0.07209559673466442
state finance,-0.07213920292248045
release central,-0.07230153740765669
source scientist,-0.07288561708183129
state university,-0.07345250017050338
state central,-0.07373304635568743
source international,-0.0738091325728544
source isro,-0.0738156616399726
state isro,-0.07422700844264085
source university,-0.07498055744659947
data reserve,-0.07668925653879717
source team,-0.07669046119081954
data stock,-0.07709579148925512
source study,-0.0789156826969516
data university,-0.07895008429782602
state scientist,-0.07974254003205068
state election,-0.08056550809289562
data election,-0.08501650516333543
state stock,-0.08601798035049595
state international,-0.0875250053255609
state reserve,-0.09063436664894531
release university,-0.09321873806074917
source microsoft,-0.09395970948499109
release international,-0.09580618957260849
release ministry,-0.0972980968992287
state microsoft,-0.09800095099316453
election,-0.1060452997539094
source ministry,-0.10746187711068036
data ministry,-0.12833849223742108
state ministry,-0.14181808708150542
confirm,-0.2126294802370006
commission,-0.21824198733752884
official,-0.27007601126344116
ministry external,-0.3452040025057938
external affair,-0.3452040025057938
external,-0.3452040025057938
affair india,-0.3452040025057938
state sign,-0.3452040025057938
agreement,-0.3452040025057938
sign new,-0.3452040025057938
india united,-0.3452040025057938
strengthen,-0.3452040025057938
strengthen bilateral,-0.3452040025057938
tie,-0.3452040025057938
defense agreement,-0.3452040025057938
aim strengthen,-0.3452040025057938
aim,-0.3452040025057938
new defense,-0.3452040025057938
agreement aim,-0.3452040025057938
united,-0.3452040025057938
affair,-0.3452040025057938
bilateral,-0.3452040025057938
united state,-0.3452040025057938
bilateral tie,-0.3452040025057938
defense,-0.3452040025057938
data release,-0.38903667461725044
expectation,-0.38903667461725044
quarter,-0.38903667461725044
quarter beat,-0.38903667461725044
grow quarter,-0.38903667461725044
release today,-0.38903667461725044
beat market,-0.38903667461725044
beat,-0.38903667461725044
today india,-0.38903667461725044
official government,-0.38903667461725044
grow,-0.38903667461725044
gdp grow,-0.38903667461725044
india gdp,-0.38903667461725044
market expectation,-0.38903667461725044
gdp,-0.38903667461725044
sector todays,-0.39200348950334174
stimulus,-0.39200348950334174
msme,-0.39200348950334174
msme sector,-0.39200348950334174
finance,-0.39200348950334174
stimulus package,-0.39200348950334174
crore stimulus,-0.39200348950334174
sector,-0.39200348950334174
todays,-0.39200348950334174
todays press,-0.39200348950334174
announce crore,-0.39200348950334174
crore,-0.39200348950334174
minister nirmala,-0.39200348950334174
finance minister,-0.39200348950334174
package msme,-0.39200348950334174
sitharaman announce,-0.39200348950334174
nirmala sitharaman,-0.39200348950334174
nirmala,-0.39200348950334174
sitharaman,-0.39200348950334174
press conference,-0.39200348950334174
conference,-0.39200348950334174
package,-0.39200348950334174
compare previous,-0.4024935182768772
compare,-0.4024935182768772
reduce severity,-0.4024935182768772
previous,-0.4024935182768772
severity compare,-0.4024935182768772
confirm new,-0.4024935182768772
strain base,-0.4024935182768772
covid variant,-0.4024935182768772
severity,-0.4024935182768772
base preliminary,-0.4024935182768772
base,-0.4024935182768772
previous strain,-0.4024935182768772
reduce,-0.4024935182768772
strain,-0.4024935182768772
variant reduce,-0.4024935182768772
new covid,-0.4024935182768772
variant,-0.4024935182768772
world health,-0.4024935182768772
health organization,-0.4024935182768772
organization,-0.4024935182768772
organization confirm,-0.4024935182768772
preliminary,-0.4024935182768772
preliminary data,-0.4024935182768772
inflation,-0.4216360904224318
repo rate,-0.4216360904224318
concern,-0.4216360904224318
repo,-0.4216360904224318
global economic,-0.4216360904224318
india repo,-0.4216360904224318
inflation global,-0.4216360904224318
global,-0.4216360904224318
reserve,-0.4216360904224318
reserve bank,-0.4216360904224318
concern inflation,-0.4216360904224318
economic uncertainty,-0.4216360904224318
economic,-0.4216360904224318
unchanged cite,-0.4216360904224318
bank india,-0.4216360904224318
cite concern,-0.4216360904224318
rate unchanged,-0.4216360904224318
rate,-0.4216360904224318
cite,-0.4216360904224318
uncertainty,-0.4216360904224318
unchanged,-0.4216360904224318
february,-0.42729929118812954
secondary education,-0.42729929118812954
exams,-0.42729929118812954
secondary,-0.42729929118812954
central board,-0.42729929118812954
begin,-0.42729929118812954
begin february,-0.42729929118812954
class,-0.42729929118812954
exams begin,-0.42729929118812954
class board,-0.42729929118812954
central,-0.42729929118812954
announce class,-0.42729929118812954
education announce,-0.42729929118812954
board secondary,-0.42729929118812954
board exams,-0.42729929118812954
start,-0.4273389360705835
seven,-0.4273389360705835
seven phase,-0.4273389360705835
upcoming,-0.4273389360705835
election place,-0.4273389360705835
announce vote,-0.4273389360705835
assembly,-0.4273389360705835
upcoming state,-0.4273389360705835
place seven,-0.4273389360705835
phase,-0.4273389360705835
state assembly,-0.4273389360705835
vote upcoming,-0.4273389360705835
commission announce,-0.4273389360705835
month,-0.4273389360705835
start month,-0.4273389360705835
phase start,-0.4273389360705835
assembly election,-0.4273389360705835
place,-0.4273389360705835
series finale,-0.431716893982808
series,-0.431716893982808
trophy,-0.431716893982808
australia,-0.431716893982808
thrill series,-0.431716893982808
thrill,-0.431716893982808
defeat australia,-0.431716893982808
wicket thrill,-0.431716893982808
defeat,-0.431716893982808
team india,-0.431716893982808
team,-0.431716893982808
wicket,-0.431716893982808
india defeat,-0.431716893982808
win,-0.431716893982808
win bordergavaskar,-0.431716893982808
australia wicket,-0.431716893982808
finale win,-0.431716893982808
bordergavaskar,-0.431716893982808
finale,-0.431716893982808
bordergavaskar trophy,-0.431716893982808
record,-0.43777432057265925
point,-0.43777432057265925
history,-0.43777432057265925
high today,-0.43777432057265925
high,-0.43777432057265925
close record,-0.43777432057265925
point history,-0.43777432057265925
market close,-0.43777432057265925
cross,-0.43777432057265925
close,-0.43777432057265925
sensex,-0.43777432057265925
cross point,-0.43777432057265925
record high,-0.43777432057265925
stock market,-0.43777432057265925
stock,-0.43777432057265925
sensex cross,-0.43777432057265925
today sensex,-0.43777432057265925
publish nature,-0.4404695414215716
nature astronomy,-0.4404695414215716
exoplanet,-0.4404695414215716
nature,-0.4404695414215716
exoplanet habitable,-0.4404695414215716
star,-0.4404695414215716
new exoplanet,-0.4404695414215716
habitable zone,-0.4404695414215716
habitable,-0.4404695414215716
discover new,-0.4404695414215716
zone,-0.4404695414215716
star research,-0.4404695414215716
zone star,-0.4404695414215716
research publish,-0.4404695414215716
research,-0.4404695414215716
scientist,-0.4404695414215716
scientist discover,-0.4404695414215716
astronomy,-0.4404695414215716
health report,-0.4502170827164968
report,-0.4502170827164968
report vaccination,-0.4502170827164968
adult country,-0.4502170827164968
adult,-0.4502170827164968
coverage reach,-0.4502170827164968
vaccination,-0.4502170827164968
reach eligible,-0.4502170827164968
ministry health,-0.4502170827164968
reach,-0.4502170827164968
eligible,-0.4502170827164968
eligible adult,-0.4502170827164968
country,-0.4502170827164968
vaccination coverage,-0.4502170827164968
coverage,-0.4502170827164968
microsoft,-0.4506843992391589
compute,-0.4506843992391589
billion,-0.4506843992391589
expand,-0.4506843992391589
infrastructure,-0.4506843992391589
infrastructure year,-0.4506843992391589
microsoft announce,-0.4506843992391589
india expand,-0.4506843992391589
cloud,-0.4506843992391589
cloud compute,-0.4506843992391589
investment,-0.4506843992391589
investment india,-0.4506843992391589
expand cloud,-0.4506843992391589
billion investment,-0.4506843992391589
announce billion,-0.4506843992391589
compute infrastructure,-0.4506843992391589
los angeles,-0.45755632921315376
include,-0.45755632921315376
include los,-0.45755632921315376
announce cricket,-0.45755632921315376
cricket,-0.45755632921315376
angeles olympics,-0.45755632921315376
angeles,-0.45755632921315376
cricket include,-0.45755632921315376
los,-0.45755632921315376
olympics,-0.45755632921315376
committee announce,-0.45755632921315376
olympic,-0.45755632921315376
olympic committee,-0.45755632921315376
international olympic,-0.45755632921315376
international,-0.45755632921315376
committee,-0.45755632921315376
risk,-0.4620359452557049
exercise reduces,-0.4620359452557049
lancet medical,-0.4620359452557049
lancet,-0.4620359452557049
journal regular,-0.4620359452557049
journal,-0.4620359452557049
heart disease,-0.4620359452557049
medical,-0.4620359452557049
disease,-0.4620359452557049
study publish,-0.4620359452557049
regular,-0.4620359452557049
exercise,-0.4620359452557049
risk heart,-0.4620359452557049
reduces,-0.4620359452557049
publish lancet,-0.4620359452557049
heart,-0.4620359452557049
reduces risk,-0.4620359452557049
medical journal,-0.4620359452557049
regular exercise,-0.4620359452557049
grant commission,-0.4624233686828471
university,-0.4624233686828471
grant,-0.4624233686828471
examination standard,-0.4624233686828471
education examination,-0.4624233686828471
examination,-0.4624233686828471
new guideline,-0.4624233686828471
online education,-0.4624233686828471
online,-0.4624233686828471
release new,-0.4624233686828471
commission release,-0.4624233686828471
standard,-0.4624233686828471
guideline online,-0.4624233686828471
guideline,-0.4624233686828471
university grant,-0.4624233686828471
satellite,-0.4894607122750821
satellite mission,-0.4894607122750821
late satellite,-0.4894607122750821
spaceport morning,-0.4894607122750821
successfully,-0.4894607122750821
launch late,-0.4894607122750821
sriharikota spaceport,-0.4894607122750821
mission,-0.4894607122750821
isro,-0.4894607122750821
mission sriharikota,-0.4894607122750821
morning,-0.4894607122750821
sriharikota,-0.4894607122750821
isro successfully,-0.4894607122750821
launch,-0.4894607122750821
successfully launch,-0.4894607122750821
late,-0.4894607122750821
spaceport,-0.4894607122750821
release,-0.5786143337236531
press release,-0.6214733633052084
official source,-0.6350573376047395
source,-0.6350573376047395
ministry,-0.6761123890816991
new,-0.6804344464883065
today,-0.6988087836016227
market,-0.6988087836016227
health,-0.7197613321743709
board,-0.7234805901304433
education,-0.7513082906938122
publish,-0.7618171397563017
press,-0.8513551525403987
government data,-0.8572052496212986
data,-1.0628923234218843
state,-1.117959766838538
india,-1.3060761262521152
announce,-1.378196714515684
